Report,District Name,RCDTS,Participating?,NCESID,ROE_x,Type,School Name,City,County,District Type,District Size,School Type_x,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,key,School EntityID,School Type_y,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,school_id,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e,State Name [Public School] Latest available year,School Name [Public School] 2021-22,StateID,ParticipatingSchools,Agency Name [Public School] 2021-22,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 2021-22,Locale,FRL_percent,Female_percent,American Indian/Alaska Native Students [Public School] 2021-22,Asian or Asian/Pacific Islander Students [Public School] 2021-22,Hispanic Students [Public School] 2021-22,Black or African American Students [Public School] 2021-22,White Students [Public School] 2021-22,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22,Two or More Races Students [Public School] 2021-22,Pupil/Teacher Ratio [Public School] 2021-22,School size,Title I School Status [Public School] 2021-22,State School ID [Public School] 2021-22,State Agency ID [Public School] 2021-22,National School Lunch Program [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2021-22,Male Students [Public School] 2021-22,Female Students [Public School] 2021-22,American Indian/Alaska Native Students [Public School] 2021-22.1,Asian or Asian/Pacific Islander Students [Public School] 2021-22.1,Hispanic Students [Public School] 2021-22.1,Black or African American Students [Public School] 2021-22.1,White Students [Public School] 2021-22.1,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22.1,Two or More Races Students [Public School] 2021-22.1,Total Race/Ethnicity [Public School] 2021-22,teacher_count,Pupil/Teacher Ratio [Public School] 2021-22.1,School Level (SY 2017-18 onward) [Public School] 2021-22,Lowest Grade Offered [Public School] 2021-22,Highest Grade Offered [Public School] 2021-22,ROE_y,ROE_AREA,ROE_AREA_Name
Seymour High School- Payson CUSD 1,Payson CUSD 1,1.001E+13,,1.73099E+11,1,School,Seymour High School,Payson,Adams,UNIT,MEDIUM,HIGH SCHOOL,12-Jul,19.7,Commendable,219,93.6,,,,,,5.9,20.1,16.4,,48.9,,33.3,92,9.5,44,19.2,6.4,82.4,14.3,5,,,,,84,,,2,,,40,3,70,4,41,3,28,2,36,2,92,59.1,23,102,21,101,41,44.4,38,58,65.5,29,82.9,22.6,55,146,,,120,26,Not Provided,,,,,,,,,,3779,92,59.1,212,22,82,48,69,28,53,32,70,45,41,79,60,48,75,92,91,37,29,99,62,36,22,1,17,1,1,69,32,36,16,17,20,1,29,9,16,17,30,40,70,41,28,36,2,-1,Illinois,Seymour High School,1.001E+13,0,Payson CUSD 1,1730990,42-Rural: Distant,4,0.377118644,0.466101695,,,0.004237288,,0.944915254,,0.050847458,13.49,236,4-Title I schoolwide eligible school-No program,IL-01-001-0010-26-0100100100001,IL-01-001-0010-26,No,89,126,110,–,–,1,–,223,–,12,236,17.5,13.49,High,7th Grade,12th Grade,1,3,West Central
Seymour Elementary School- Payson CUSD 1,Payson CUSD 1,1.001E+13,,1.73099E+11,1,School,Seymour Elementary School,Payson,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 6,20.4,Exemplary,267,92.1,,,,,,4.1,18,16.1,,50.9,,,94.6,6.2,13,6.4,,,16.3,5,,,,,91.4,,,1,,,42,3,44,3,43,3,57,3,52,3,95.1,64.3,41,134,29,134,59.9,54.3,11,36,30.6,,,12.2,24,65,,,34,31,,,,,,,,,,,3778,95.1,64.3,102,28,58,38,38,36,19,35,51,13,66,48,49,33,50,49,34,49,46,45,41,,62,54,59,45,,72,52,39,66,62,3,58,42,16,,41,58,42,44,43,57,52,3,0,Illinois,Seymour Elementary School,1.001E+13,0,Payson CUSD 1,1730990,42-Rural: Distant,4,0.398406375,0.398406375,,,0.015936255,,0.944223108,,0.039840637,12.24,251,5-Title I schoolwide school,IL-01-001-0010-26-0100100102002,IL-01-001-0010-26,No,100,151,100,–,–,4,–,237,–,10,251,20.5,12.24,Elementary,Prekindergarten,6th Grade,1,3,West Central
Liberty High School- Liberty CUSD 2,Liberty CUSD 2,1.001E+13,,1.72277E+11,1,School,Liberty High School,Liberty,Adams,UNIT,MEDIUM,HIGH SCHOOL,12-Jul,24.8,Exemplary,263,95.1,,,,,,,28.5,23.2,,25.1,,10,93.7,4.5,15,5.6,,100,14.7,3.7,,,,,90.2,,,2,,,58,3,44,3,63,4,48,3,39,2,95.8,75,56,140,48,140,41.9,46.1,68,103,66,34,97.1,18,20,36,,,11,25,,,,,,,,,,,3145,95.8,75,265,32,75,37,39,37,24,59,56,64,65,71,47,50,55,47,80,59,78,44,60,42,71,47,44,28,1,88,54,67,59,26,46,28,48,65,34,54,68,58,44,63,48,39,3,0,Illinois,Liberty High School,1.001E+13,0,Liberty CUSD 2,1722770,43-Rural: Remote,4,0.176258993,0.460431655,,,,0.010791367,0.949640288,,0.039568345,10.94,278,1-Title I targeted assistance eligible school-No program,IL-01-001-0020-26-0100100200001,IL-01-001-0020-26,No,49,150,128,–,–,–,3,264,–,11,278,25.4,10.94,High,7th Grade,12th Grade,1,3,West Central
Liberty Elementary School- Liberty CUSD 2,Liberty CUSD 2,1.001E+13,,1.72277E+11,1,School,Liberty Elementary School,Liberty,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 6,22.8,Commendable,364,97.3,,,,,,,20.9,15.7,,22,,,95.5,6.3,,,,,19.4,3,,,,,88.9,,,1,,,51,3,50,3,54,3,74,4,64,4,99.2,77.3,75,177,69,177,44.2,40.7,33,43,76.7,,,10.1,18,35,,,21,14,,,,,,,,,,,3144,99.2,77.3,126,44,55,52,43,37,34,46,56,43,64,61,57,47,62,40,96,54,64,37,41,,79,69,63,84,,99,57,56,79,73,41,54,67,28,,84,72,51,50,54,74,64,4,2,Illinois,Liberty Elementary School,1.001E+13,0,Liberty CUSD 2,1722770,43-Rural: Remote,4,0.294460641,0.533527697,,,,,0.965014577,,0.034985423,11.99,343,5-Title I schoolwide school,IL-01-001-0020-26-0100100202002,IL-01-001-0020-26,No,101,160,183,–,–,–,–,331,–,12,343,28.6,11.99,Elementary,Prekindergarten,6th Grade,31,1,Northeast
Central High School- Central CUSD 3,Central CUSD 3,1.001E+13,,1.70822E+11,1,School,Central High School,Camp Point,Adams,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,21.4,Commendable,239,95.4,,,,,,,20.5,15.1,,36.8,,,95.5,9.4,,,,84.3,12.2,5,,,,,92.9,,,2,,,46,3,28,2,41,3,50,3,50,3,74.5,85.7,25,65,25,65,,,49,65,76.6,53,91.4,11.6,33,43,,,33,10,,,,,,,,,,,1933,74.5,85.7,239,21,75,6,35,44,17,15,77,37,50,77,30,19,45,34,99,36,49,25,71,39,80,57,46,49,1,94,52,47,61,63,52,41,49,53,42,57,71,46,28,41,50,50,2,-1,Illinois,Central High School,1.001E+13,0,Central CUSD 3,1708220,43-Rural: Remote,4,0.372,0.432,,,,0.008,0.96,,0.032,12.65,250,4-Title I schoolwide eligible school-No program,IL-01-001-0030-26-0100100300001,IL-01-001-0030-26,No,93,142,108,–,–,–,2,240,–,8,250,19.76,12.65,High,9th Grade,12th Grade,9,4,East Central
Central Junior High School- Central CUSD 3,Central CUSD 3,1.001E+13,,1.70822E+11,1,School,Central Junior High School,Camp Point,Adams,UNIT,MEDIUM,MIDDLE SCHL,8-May,21.7,Exemplary,240,94.6,,,,,,,23.8,16.3,,37.9,,41.7,95.4,4.9,12,4.8,,,18.9,5,,,,,90,,,4,,,65,4,63,4,34,2,66,4,60,4,95,83.3,96,242,58,241,61.5,60.1,79,118,66.9,,,9.9,34,53,,,43,10,,,,,,,,,,,1934,95,83.3,241,18,61,37,70,61,55,56,76,43,13,45,73,45,56,38,99,45,65,78,46,,73,61,99,33,,67,77,34,92,93,25,37,38,39,,45,62,65,63,34,66,60,5,3,Illinois,Central Junior High School,1.001E+13,0,Central CUSD 3,1708220,43-Rural: Remote,4,0.33201581,0.470355731,0.003952569,,0.011857708,0.007905138,0.95256917,,0.023715415,17.03,253,5-Title I schoolwide school,IL-01-001-0030-26-0100100301001,IL-01-001-0030-26,No,84,134,119,1,–,3,2,241,–,6,253,14.86,17.03,Middle,5th Grade,8th Grade,1,3,West Central
Central Elementary Grade School- Central CUSD 3,Central CUSD 3,1.001E+13,,1.70822E+11,1,School,Central Elementary Grade School,Camp Point,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 2,25.1,Commendable,180,97.2,,,,,,,18.3,16.1,,38.9,,,94.2,7.1,,,,,16.1,5,,,,,89.6,,,1,,,18,1,15,1,33,2,,0,,0,0,57.1,,,,,,,,,,,,15.2,4,6,,,3,3,,,,,,,,,,,1932,0,57.1,0,21,51,1,6,34,1,1,32,13,56,51,21,1,15,,46,31,6,32,25,,,,,,,,,,,,,,,,,,,18,15,33,,,1,-3,Illinois,Central Elementary Grade School,1.001E+13,0,Central CUSD 3,1708220,43-Rural: Remote,4,0.402912621,0.461165049,,,0.004854369,,0.985436893,,0.009708738,10.89,206,5-Title I schoolwide school,IL-01-001-0030-26-0100100302003,IL-01-001-0030-26,No,83,111,95,–,–,1,–,203,–,2,206,18.91,10.89,Elementary,Prekindergarten,2nd Grade,1,3,West Central
Central 3-4 Middle School- Central CUSD 3,Central CUSD 3,1.001E+13,,1.70822E+11,1,School,Central 3-4 Middle School,Golden,Adams,UNIT,MEDIUM,ELEMENTARY,4-Mar,27.5,Commendable,109,92.7,,,,,,,22.9,22,,42.2,,,95.3,10.7,,,,,15.3,5,,,,,90.9,,,2,,,56,3,46,3,42,3,47,3,22,2,95,91.7,22,104,33,104,47.6,35.5,,,,,,,,,,,,,,,,,,,,,,,1931,95,91.7,40,12,59,13,41,50,54,51,62,47,28,79,55,1,59,6,99,51,60,64,48,,49,,44,55,,,13,,61,12,,42,31,,,42,45,56,46,42,47,22,2,-1,Illinois,Central 3-4 Middle School,1.001E+13,0,Central CUSD 3,1708220,43-Rural: Remote,4,0.433962264,0.5,0.018867925,,0.009433962,,0.962264151,,0.009433962,11.24,106,5-Title I schoolwide school,IL-01-001-0030-26-0100100302008,IL-01-001-0030-26,No,46,53,53,2,–,1,–,102,–,1,106,9.43,11.24,Elementary,3rd Grade,4th Grade,1,3,West Central
Unity High School- CUSD 4,CUSD 4,1.001E+13,,1.72559E+11,1,School,Unity High School,Mendon,Adams,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,18,Commendable,178,95.5,,,,,,,20.2,18.5,,37.1,,,92.3,10.9,12,6.5,,94.9,12.8,5,,,,,77.1,,,2,,,49,3,28,2,45,3,31,2,45,3,76.5,77.8,12,41,9,41,,,16,40,41,41,85.4,25.3,14,26,,1,12,13,,,,,,,,,,,2228,76.5,77.8,179,18,58,5,13,40,1,32,54,51,37,76,50,28,38,67,35,46,71,35,55,35,16,9,52,32,1,76,44,36,54,36,19,23,31,46,19,23,39,49,28,45,31,45,2,-2,Illinois,Unity High School,1.001E+13,0,CUSD 4,1725590,42-Rural: Distant,4,0.376404494,0.47752809,,0.011235955,0.033707865,,0.949438202,,0.005617978,12.33,178,1-Title I targeted assistance eligible school-No program,IL-01-001-0040-26-0100100400001,IL-01-001-0040-26,No,67,93,85,–,2,6,–,169,–,1,178,14.44,12.33,High,9th Grade,12th Grade,1,3,West Central
Unity Elementary School- CUSD 4,CUSD 4,1.001E+13,,1.72559E+11,1,School,Unity Elementary School,Mendon,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 4,26.8,Commendable,298,96.3,,,,,,,12.8,12.1,,33.6,,,94,7.4,,,,,19.2,5,,,,,90,,,2,,,17,1,15,1,47,3,60,4,45,3,99.9,84,30,105,49,105,42.4,49.8,,,,,,14.3,6,12,,,7,5,,,,,,,,,,,2227,99.9,84,53,25,58,33,1,29,3,1,29,34,60,48,14,26,19,45,16,46,8,9,28,,94,,66,47,,,52,,43,35,,34,45,,,78,57,17,15,47,60,45,2,-1,Illinois,Unity Elementary School,1.001E+13,0,CUSD 4,1725590,42-Rural: Distant,4,0.448398577,0.512455516,,,0.021352313,0.003558719,0.964412811,,0.010676157,13.82,281,5-Title I schoolwide school,IL-01-001-0040-26-0100100402006,IL-01-001-0040-26,No,126,137,144,–,–,6,1,271,–,3,281,20.33,13.82,Elementary,Prekindergarten,4th Grade,1,3,West Central
Unity Middle School- CUSD 4,CUSD 4,1.001E+13,,1.72559E+11,1,School,Unity Middle School,Mendon,Adams,UNIT,MEDIUM,ELEMENTARY,8-May,27.4,Commendable,183,94.5,,,,,,,16.9,14.2,,42.1,,15.6,93.8,,,,,,18.3,5,,,,,80.6,,,2,,,38,2,16,1,8,1,43,3,56,3,78.4,78.6,93,188,38,187,68.5,48,38,83,45.8,,,17.4,15,24,,,13,11,,,,,,,,,,,2229,78.4,78.6,185,14,50,1,1,42,1,5,37,10,7,40,21,1,43,30,28,7,69,12,40,,63,26,72,71,,75,76,35,38,46,25,26,24,19,,53,47,38,16,8,43,56,1,-3,ILLINOIS,Unity Middle School,1.001E+13,0,CUSD 4,1725590,42-Rural: Distant,4,0.423076923,0.442307692,,,0.024038462,0.019230769,0.951923077,,0.004807692,15.72,208,1-Title I targeted assistance eligible school-No program,IL-01-001-0040-26-0100100402007,IL-01-001-0040-26,No,88,116,92,–,–,5,4,198,–,1,208,13.23,15.72,Middle,5th Grade,8th Grade,1,3,West Central
Quincy Sr High School- Quincy SD 172,Quincy SD 172,1.00117E+13,,1.733E+11,1,School,Quincy Sr High School,Quincy,Adams,UNIT,LARGE,HIGH SCHOOL,12-Sep,28.9,Commendable,1835,78.5,7,4.2,1,,,9,19,14.7,0.5,51.2,1.1,,85.6,14.9,674,34.1,5.8,78.4,21.3,3.5,,,,,90.4,,,1,,,42,3,37,2,49,3,35,2,41,3,72.4,80.6,108,441,79,440,,,255,435,58.6,356,81.3,43.1,298,957,,5,674,270,8,,,,,,,,,,3975,72.4,80.6,1846,129,43,49,27,31,19,36,50,63,39,48,46,32,39,24,99,44,50,26,37,29,51,44,66,54,1,57,41,30,50,44,26,35,23,71,35,43,53,42,37,49,35,41,2,-2,Illinois,Quincy Sr High School,1.00117E+13,0,Quincy SD 172,1733000,33-Town: Remote,3,0.458642893,0.483902922,0.001485884,0.009905894,0.04110946,0.075780089,0.790490342,0.000495295,0.080733036,21.73,2019,5-Title I schoolwide school,IL-01-001-1720-22-0100117200003,IL-01-001-1720-22,No,926,1042,977,3,20,83,153,1596,1,163,2019,92.91,21.73,High,9th Grade,12th Grade,1,3,West Central
Quincy Jr High School- Quincy SD 172,Quincy SD 172,1.00117E+13,,1.733E+11,1,School,Quincy Jr High School,Quincy,Adams,UNIT,LARGE,MIDDLE SCHL,8-Jun,23.1,Targeted,1332,75.6,8.1,3.4,0.8,,,11.8,21.8,16.5,,60,1.1,24.3,89.4,7.3,320,23.1,,,22.4,4.6,,,,,83.8,,,2,,,39,2,19,1,25,2,26,2,34,2,89.7,66.7,327,1287,219,1253,37.9,35.9,193,435,45.2,,,34.7,412,1775,,3,1082,689,1,,,,,,,,,,3974,89.7,66.7,1282,99,13,31,14,46,1,22,48,49,10,2,25,30,7,10,84,17,38,18,6,,27,15,51,36,,50,56,6,34,34,17,11,14,52,,13,29,39,19,25,26,34,1,-5,Illinois,Quincy Jr High School,1.00117E+13,0,Quincy SD 172,1733000,33-Town: Remote,3,0.555149744,0.486486486,0.003652301,0.010226443,0.035062089,0.083272462,0.766252739,0.00146092,0.100073046,17.07,1369,5-Title I schoolwide school,IL-01-001-1720-22-0100117201003,IL-01-001-1720-22,No,760,703,666,5,14,48,114,1049,2,137,1369,80.22,17.07,Middle,6th Grade,8th Grade,1,3,West Central
Sarah Atwater Denman Elementary School- Quincy SD 172,Quincy SD 172,1.00117E+13,,1.733E+11,1,School,Sarah Atwater Denman Elementary School,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,28.7,Targeted,497,79.9,4.4,3.4,,,,11.3,16.9,14.1,,59,,,93.6,8.6,31,7.2,,,20.9,4.3,,,,,86.7,,,1,,,33,2,23,2,45,3,52,3,47,3,95.1,76.4,60,256,67,256,45.3,52.3,35,75,46.7,,,18.6,39,80,,,10,70,,,,,,,,,,,3966,95.1,76.4,162,55,20,33,13,36,16,31,39,49,54,33,32,16,2,23,87,33,26,34,1,,71,,57,43,,,66,,44,56,,47,41,,,46,51,33,23,45,52,47,2,-2,Illinois,Sarah Atwater Denman Elementary School,1.00117E+13,0,Quincy SD 172,1733000,41-Rural: Fringe,4,0.547920434,0.470162749,,0.007233273,0.028933092,0.054249548,0.804701627,,0.104882459,13.47,553,5-Title I schoolwide school,IL-01-001-1720-22-0100117202004,IL-01-001-1720-22,No,303,293,260,–,4,16,30,445,–,58,553,41.04,13.47,Elementary,Kindergarten,5th Grade,1,3,West Central
Colonel George Iles Elementary School- Quincy SD 172,Quincy SD 172,1.00117E+13,,1.733E+11,1,School,Colonel George Iles Elementary School,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,25.4,Commendable,515,74,8.7,3.7,,,,13.4,20.2,17.3,,71.7,,,93.1,12.1,37,8,,,22.7,4.3,,,,,90.4,,,2,,,45,3,31,2,38,2,63,4,58,3,94.9,73.2,75,262,59,261,51.7,54.6,46,92,50,,,22.6,33,83,,,1,82,,,,,,,,,,,3969,94.9,73.2,158,56,23,42,13,41,11,43,52,36,54,15,44,26,18,29,99,23,44,36,1,,71,,81,69,,,57,,72,76,,63,45,,,59,65,45,31,38,63,58,2,-1,Illinois,Colonel George Iles Elementary School,1.00117E+13,0,Quincy SD 172,1733000,33-Town: Remote,3,0.623423423,0.461261261,,0.001801802,0.032432432,0.091891892,0.738738739,0.001801802,0.133333333,14.31,555,5-Title I schoolwide school,IL-01-001-1720-22-0100117202006,IL-01-001-1720-22,No,346,299,256,–,1,18,51,410,1,74,555,38.78,14.31,Elementary,Kindergarten,5th Grade,1,3,West Central
Thomas S Baldwin Elementary School- Quincy SD 172,Quincy SD 172,1.00117E+13,,1.733E+11,1,School,Thomas S Baldwin Elementary School,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,24,Commendable,551,73.1,9.1,3.4,,,,13.1,19.6,17.2,,65.3,2,,93.1,13,57,11.8,,,23.2,4.3,,,,,81.2,,,1,,,53,3,45,3,43,3,50,3,45,3,89.1,75.4,53,283,65,283,47.2,56.8,40,93,43,,,21.4,58,119,,,23,96,,,,,,,,,,,3972,89.1,75.4,183,57,27,53,28,38,34,68,57,55,46,25,60,53,30,12,94,28,50,52,2,,60,,49,52,,,63,,42,51,,50,47,,,27,49,53,45,43,50,45,3,0,Illinois,Thomas S Baldwin Elementary School,1.00117E+13,0,Quincy SD 172,1733000,33-Town: Remote,3,0.607329843,0.476439791,,0.012216405,0.041884817,0.094240838,0.717277487,,0.134380454,14.49,573,5-Title I schoolwide school,IL-01-001-1720-22-0100117202009,IL-01-001-1720-22,No,348,300,273,–,7,24,54,411,–,77,573,39.54,14.49,Elementary,Kindergarten,5th Grade,1,3,West Central
Lincoln-Douglas Elementary School- Quincy SD 172,Quincy SD 172,1.00117E+13,,1.733E+11,1,School,Lincoln-Douglas Elementary School,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,24.5,Commendable,580,78.3,6.2,4.5,,,,10,18.8,18.3,,61.9,,,93.1,6.6,64,12.6,,,24.5,4.3,,,,,88.8,,,1,,,49,3,48,3,49,3,59,3,42,3,84.2,70.7,86,291,87,291,45.2,49.3,40,84,47.6,,,21.7,39,66,,,8,58,,,,,,,,,,,3973,84.2,70.7,183,58,26,35,36,48,52,46,61,60,52,20,54,34,48,8,99,35,40,65,9,,66,,58,52,,,55,,58,51,,66,46,,,71,65,49,48,49,59,42,3,0,Illinois,Lincoln-Douglas Elementary School,1.00117E+13,0,Quincy SD 172,1733000,33-Town: Remote,3,0.537634409,0.496415771,,0.007168459,0.034050179,0.068100358,0.783154122,0.005376344,0.102150538,13.6,558,5-Title I schoolwide school,IL-01-001-1720-22-0100117202016,IL-01-001-1720-22,No,300,281,277,–,4,19,38,437,3,57,558,41.04,13.6,Elementary,Prekindergarten,4th Grade,1,3,West Central
Dr. Abby Fox Rooney Elementary School- Quincy SD 172,Quincy SD 172,1.00117E+13,,1.733E+11,1,School,Dr. Abby Fox Rooney Elementary School,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,19.8,Commendable,490,71.4,10.2,3.9,,,,13.9,20.4,18.2,,70,7.1,,93,10,55,12.6,,,21,4.3,,,,,88.2,,,3,,,41,3,40,3,47,3,58,3,59,3,94.6,72.2,68,221,68,221,45.3,48.5,34,72,47.2,,,20.9,55,151,,,103,48,,,,,,,,,,,3976,94.6,72.2,148,54,39,44,33,40,33,43,45,49,48,27,31,37,48,28,94,43,34,42,10,,72,,58,66,,,84,,61,57,,68,46,,,59,54,41,40,47,58,59,3,0,Illinois,Dr. Abby Fox Rooney Elementary School,1.00117E+13,0,Quincy SD 172,1733000,33-Town: Remote,3,0.609406953,0.449897751,0.00204499,0.00408998,0.038854806,0.08997955,0.744376278,,0.120654397,11.84,489,5-Title I schoolwide school,IL-01-001-1720-22-0100117202017,IL-01-001-1720-22,No,298,269,220,1,2,19,44,364,–,59,489,41.31,11.84,Elementary,Kindergarten,5th Grade,1,3,West Central
Early Childhood- Quincy SD 172,Quincy SD 172,1.00117E+13,,1.733E+11,1,School,Early Childhood,Quincy,Adams,UNIT,LARGE,ELEMENTARY,PK - K,17.8,,439,64.9,13.7,4.1,,,,17.3,32.8,32.3,,77.4,2.7,,,,,,,,17,2.6,,,,,92.5,,,2,,,37,2,16,1,45,3,,0,,0,0,89.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3970,0,89.1,0,55,,1,2,39,1,35,43,70,39,,25,13,29,,60,26,29,22,1,,,,,,,,,,,,,,,,,,,37,16,45,,,2,-2,Illinois,Early Childhood,1.00117E+13,0,Quincy SD 172,1733000,33-Town: Remote,3,0.705607477,0.413551402,0,0.004672897,0.03271028,0.119158879,0.686915888,0,0.156542056,28.53,428,4-Title I schoolwide eligible school-No program,IL-01-001-1720-22-0100117203004,IL-01-001-1720-22,No,302,251,177,0,2,14,51,294,0,67,428,15,28.53,Elementary,Prekindergarten,Kindergarten,1,3,West Central
Brown County High School- Brown County CUSD 1,Brown County CUSD 1,1.005E+13,,1.7273E+11,1,School,Brown County High School,Mount Sterling,Brown,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,17.1,Commendable,209,93.3,,,,,,,17.7,14.4,,38.8,,,93.9,11.6,10,4.7,,98,13.4,5,,,,,90.5,,,1,,,72,4,64,4,65,4,53,3,71,4,98.5,59.3,8,43,10,43,,,30,41,73.2,45,93.8,17.3,28,53,,,34,19,,,,,,,,,,,1784,98.5,59.3,195,27,92,33,75,51,44,66,82,61,58,91,71,43,68,95,99,75,89,74,82,48,90,61,80,55,1,87,55,36,73,78,64,55,50,27,50,85,65,72,64,65,53,71,5,4,Illinois,Brown County High School,1.005E+13,0,Brown County CUSD 1,1727300,33-Town: Remote,3,0.324200913,0.525114155,,,0.02283105,0.02283105,0.940639269,,0.01369863,11.47,219,1-Title I targeted assistance eligible school-No program,IL-01-005-0010-26-0100500100001,IL-01-005-0010-26,No,71,104,115,–,–,5,5,206,–,3,219,19.1,11.47,High,9th Grade,12th Grade,1,3,West Central
Brown County Middle School- Brown County CUSD 1,Brown County CUSD 1,1.005E+13,,1.7273E+11,1,School,Brown County Middle School,Mount Sterling,Brown,UNIT,MEDIUM,MIDDLE SCHL,8-May,17,Commendable,205,94.1,,,,,,,14.1,12.7,,40.5,,23.8,93.8,4.8,11,5.2,,,19.1,5,,,,,80.9,,,3,,,77,4,73,4,46,3,45,3,81,5,98.5,72.2,70,205,64,205,43.8,53.3,72,118,61,,,17.5,11,17,,,16,1,,,,,,,,,,,1785,98.5,72.2,199,18,77,67,75,69,41,68,78,45,28,63,76,56,73,67,99,64,93,75,62,,53,6,62,99,,68,65,22,55,93,19,47,29,36,,47,42,77,73,46,45,81,5,3,Illinois,Brown County Middle School,1.005E+13,0,Brown County CUSD 1,1727300,33-Town: Remote,3,0.505319149,0.521276596,,,0.042553191,0.010638298,0.930851064,,0.015957447,11.53,188,5-Title I schoolwide school,IL-01-005-0010-26-0100500101002,IL-01-005-0010-26,No,95,90,98,–,–,8,2,175,–,3,188,16.3,11.53,Middle,5th Grade,8th Grade,1,3,West Central
Brown County Elementary School- Brown County CUSD 1,Brown County CUSD 1,1.005E+13,,1.7273E+11,1,School,Brown County Elementary School,Mount Sterling,Brown,UNIT,MEDIUM,ELEMENTARY,PK - 4,20.3,Commendable,260,97.3,,,,,,,18.8,17.7,,41.2,,,93.5,7.2,,,,,18.3,5,,,,,84.5,,,3,,,53,3,47,3,42,3,61,4,29,2,94.6,56.7,22,82,28,82,59.1,33.5,,,,,,18.3,1,1,,,Not Provided,1,,,,,,,,,,,1783,94.6,56.7,37,30,54,59,46,49,37,50,39,24,54,26,48,35,33,36,99,48,73,49,31,,76,,63,11,,,18,,60,51,,33,66,,,30,40,53,47,42,61,29,3,0,Illinois,Brown County Elementary School,1.005E+13,0,Brown County CUSD 1,1727300,33-Town: Remote,3,0.397260274,0.448630137,,0.006849315,0.02739726,0.006849315,0.945205479,,0.01369863,14.38,292,5-Title I schoolwide school,IL-01-005-0010-26-0100500102002,IL-01-005-0010-26,No,116,161,131,–,2,8,2,276,–,4,292,20.3,14.38,Elementary,Prekindergarten,4th Grade,1,3,West Central
