RCDTS,Report,NCESID,Grades Served,School Type,Summative Designation,# Student Enrollment,% Student Enrollment - Children with Disabilities,% Student Enrollment - Low Income,teacher_count,colb,colr,inf3,ins3,pgmc,pnfl,prt4,qpd2,trpa,trte
90101160222007,Dr Preston L Williams Junior Elementary School- Urbana SD 116,173996004013.0,K - 5,ELEMENTARY,Intensive,435.0,14.9,86.2,30.41,28.0,17.0,48.0,41.0,42.0,55.0,23.0,62.0,29.0,46.0
90101160222012,Yankee Ridge Elementary School- Urbana SD 116,173996004021.0,K - 5,ELEMENTARY,Comprehensive,399.0,16.5,81.7,34,30.0,15.0,35.0,1.0,29.0,41.0,21.0,28.0,10.0,63.0
90101370022006,Northview Elementary School- Rantoul City SD 137,173321003443.0,K - 5,ELEMENTARY,Comprehensive,260.0,31.9,85.0,17.89,9.0,16.0,39.0,19.0,44.0,38.0,36.0,38.0,25.0,44.0
110150010262003,Carl Sandburg Elementary School- Charleston CUSD 1,170960000566.0,K - 3,ELEMENTARY,Comprehensive,547.0,18.3,58.1,36,25.0,34.0,49.0,67.0,39.0,47.0,38.0,53.0,25.0,42.0
110150010262004,Jefferson Elementary School- Charleston CUSD 1,170960000569.0,PK - 6,ELEMENTARY,Comprehensive,539.0,20.2,50.5,33.21,40.0,43.0,40.0,53.0,46.0,39.0,40.0,69.0,38.0,50.0
110230060262003,Chrisman Elementary School- Edgar County CUD 6,171337001629.0,PK - 5,ELEMENTARY,Comprehensive,129.0,33.3,34.1,10.38,1.0,43.0,58.0,55.0,95.0,48.0,47.0,41.0,38.0,52.0
120130100262001,Clay City Elementary School- Clay City CUSD 10,171034004575.0,PK - 5,ELEMENTARY,Comprehensive,142.0,27.5,64.1,12.7,1.0,1.0,28.0,1.0,11.0,26.0,33.0,1.0,1.0,1.0
120170020262007,Washington Elementary School- Robinson CUSD 2,173423003509.0,PK - 2,ELEMENTARY,Comprehensive,401.0,23.9,52.4,26.94,,,,,,,,,,
120510200261007,Parkview Junior High School- Lawrence County CUD 20,172215002492.0,6 - 8,MIDDLE SCHL,Comprehensive,227.0,16.7,54.6,18.53,19.0,43.0,53.0,31.0,44.0,26.0,10.0,39.0,10.0,57.0
130410800022002,J. L. Buford Intermediate Education Center- Mount Vernon SD 80,172734002902.0,4 - 5,ELEMENTARY,Comprehensive,278.0,29.1,81.3,18.57,16.0,28.0,42.0,52.0,56.0,29.0,25.0,53.0,7.0,56.0
150162990250003,Bogan High School- City of Chicago SD 299,170993000626.0,9 - 12,HIGH SCHOOL,Intensive,643.0,27.1,85.2,54,75.0,21.0,28.0,62.0,57.0,62.0,43.0,79.0,34.0,42.0
150162990250011,Farragut Career Academy High School- City of Chicago SD 299,170993000788.0,9 - 12,HIGH SCHOOL,Intensive,446.0,31.4,96.9,46.5,52.0,44.0,47.0,43.0,51.0,50.0,13.0,51.0,38.0,45.0
150162990250012,Fenger Academy High School- City of Chicago SD 299,170993000792.0,9 - 12,HIGH SCHOOL,Intensive,234.0,23.1,88.0,18.5,74.0,47.0,30.0,77.0,85.0,82.0,33.0,85.0,45.0,53.0
150162990250013,Foreman High School- City of Chicago SD 299,170993000799.0,9 - 12,HIGH SCHOOL,Intensive,572.0,26.4,90.2,48,63.0,23.0,35.0,40.0,52.0,62.0,34.0,66.0,47.0,19.0
150162990250015,Gage Park High School- City of Chicago SD 299,170993000809.0,9 - 12,HIGH SCHOOL,Intensive,329.0,20.7,96.4,30.5,54.0,52.0,42.0,60.0,66.0,60.0,45.0,76.0,50.0,67.0
150162990250016,Harlan Community Academy High School- City of Chicago SD 299,170993000851.0,9 - 12,HIGH SCHOOL,Intensive,266.0,30.1,93.2,26.5,55.0,20.0,7.0,31.0,59.0,41.0,4.0,43.0,1.0,53.0
150162990250019,Hirsch Metropolitan High School- City of Chicago SD 299,170993000879.0,9 - 12,HIGH SCHOOL,Intensive,102.0,29.4,80.4,13,71.0,61.0,39.0,66.0,76.0,46.0,46.0,99.0,72.0,63.0
150162990250023,Kelvyn Park High School- City of Chicago SD 299,170993000923.0,7 - 12,HIGH SCHOOL,Targeted,482.0,30.5,89.8,39,41.0,36.0,34.0,35.0,56.0,51.0,36.0,39.0,26.0,53.0
