RCDTS,Report,NCESID,Grades Served,School Type,Summative Designation,# Student Enrollment,% Student Enrollment - Children with Disabilities,% Student Enrollment - Low Income,teacher_count,colb,colr,inf3,ins3,pgmc,pnfl,prt4,qpd2,trpa,trte
150162990252914,Sandoval Elementary School- City of Chicago SD 299,170993003566.0,PK - 5,ELEMENTARY,Comprehensive,736.0,14.5,93.2,51,34.0,25.0,49.0,39.0,51.0,70.0,54.0,57.0,53.0,30.0
150162990252921,Courtenay Elementary Language Arts Center- City of Chicago SD 299,170993000914.0,PK - 8,ELEMENTARY,Comprehensive,209.0,42.1,92.3,31.5,14.0,41.0,47.0,63.0,68.0,56.0,61.0,70.0,60.0,64.0
150162990252937,James R Doolittle Academy- City of Chicago SD 299,170993005167.0,PK - 8,ELEMENTARY,Intensive,254.0,17.7,99.6,17,42.0,20.0,41.0,41.0,55.0,54.0,50.0,74.0,46.0,15.0
150162990252970,Richardson Middle School- City of Chicago SD 299,170993006398.0,5 - 8,ELEMENTARY,Comprehensive,926.0,17.7,96.9,64.5,67.0,61.0,52.0,68.0,83.0,87.0,46.0,66.0,63.0,51.0
160194280261010,Huntley Middle School- DeKalb CUSD 428,171200001450.0,6 - 8,MIDDLE SCHL,Comprehensive,922.0,21.4,61.8,64.69,48.0,19.0,48.0,1.0,24.0,43.0,14.0,26.0,31.0,45.0
170640870251002,Bloomington Junior High School- Bloomington SD 87,170648000319.0,6 - 8,MIDDLE SCHL,Comprehensive,996.0,20.7,64.5,79,44.0,39.0,53.0,25.0,41.0,38.0,33.0,42.0,38.0,50.0
190220150021004,Marquardt Middle School- Marquardt SD 15,172478002688.0,6 - 8,MIDDLE SCHL,Comprehensive,799.0,15.3,60.7,69.54,72.0,45.0,46.0,51.0,35.0,43.0,21.0,61.0,25.0,57.0
200350010261001,Hardin County Junior High School- Hardin County CUSD 1,171820004657.0,6 - 8,MIDDLE SCHL,Comprehensive,138.0,17.4,63.0,7.29,,,,,,,,,,
200830040262004,Eldorado Elementary School- Eldorado CUSD 4,171366001661.0,PK - 5,ELEMENTARY,Comprehensive,546.0,22.3,70.1,39.73,66.0,48.0,53.0,74.0,80.0,89.0,78.0,87.0,72.0,55.0
200933480261003,Mt Carmel Junior High School- Wabash CUSD 348,174047004372.0,7 - 8,MIDDLE SCHL,Comprehensive,204.0,15.2,49.5,15,1.0,28.0,42.0,12.0,50.0,31.0,13.0,53.0,32.0,36.0
200970030262002,Norris City-Omaha Elementary School- Norris City-Omaha-Enfield CUSD 3,170000403009.0,PK - 8,ELEMENTARY,Comprehensive,381.0,16.5,49.3,25.3,41.0,37.0,34.0,33.0,52.0,40.0,33.0,43.0,40.0,48.0
210440550022001,Vienna Elementary School Dist 55- Vienna SD 55,174026004049.0,PK - 8,ELEMENTARY,Comprehensive,397.0,20.7,53.7,28,15.0,2.0,31.0,7.0,6.0,31.0,32.0,60.0,32.0,1.0
240473080262005,Long Beach Elementary School- CUSD 308,173027003131.0,PK - 5,ELEMENTARY,Comprehensive,498.0,18.7,64.1,30.15,27.0,39.0,39.0,58.0,57.0,68.0,33.0,50.0,31.0,52.0
260621850261001,Macomb Middle School- Macomb CUSD 185,172392001701.0,7 - 8,MIDDLE SCHL,Comprehensive,304.0,24.7,47.0,23,54.0,50.0,64.0,47.0,64.0,45.0,4.0,46.0,40.0,52.0
280372290261001,Central Junior High- Kewanee CUSD 229,172100005610.0,7 - 8,MIDDLE SCHL,Comprehensive,245.0,14.3,75.1,19.4,45.0,48.0,52.0,51.0,59.0,55.0,1.0,44.0,13.0,45.0
300020010220001,Cairo Jr/Sr High School- Cairo USD 1,170807000420.0,7 - 12,HIGH SCHOOL,Intensive,118.0,25.4,99.2,10,22.0,12.0,,24.0,47.0,,,46.0,10.0,1.0
300020010222004,Cairo Elementary School- Cairo USD 1,170807000424.0,PK - 6,ELEMENTARY,Comprehensive,182.0,20.3,100.0,14.3,19.0,24.0,37.0,52.0,41.0,41.0,29.0,60.0,38.0,36.0
300390950022008,Lewis School- Carbondale ESD 95,170834000452.0,4 - 5,ELEMENTARY,Comprehensive,291.0,14.4,51.9,26.07,5.0,13.0,40.0,37.0,22.0,37.0,14.0,13.0,13.0,44.0
300391860261002,Murphysboro Middle School- Murphysboro CUSD 186,172761002926.0,6 - 8,MIDDLE SCHL,Comprehensive,436.0,20.0,99.5,35,,,,,,,,,,
300391860262009,Carruthers Elementary School- Murphysboro CUSD 186,172761005285.0,3 - 5,ELEMENTARY,Comprehensive,399.0,20.3,99.5,34,22.0,29.0,50.0,38.0,52.0,42.0,37.0,41.0,40.0,42.0
300771010260001,Meridian High School- Meridian CUSD 101,172697002873.0,6 - 12,HIGH SCHOOL,Commendable,206.0,22.3,97.1,19,34.0,24.0,36.0,21.0,47.0,60.0,47.0,51.0,30.0,21.0
300771010262005,Meridian Elementary School- Meridian CUSD 101,172697002874.0,PK - 5,ELEMENTARY,Intensive,236.0,18.6,91.9,15,19.0,33.0,34.0,39.0,48.0,31.0,41.0,43.0,54.0,36.0
300910370042002,Davie Elementary School- Anna CCSD 37,170375000065.0,3 - 4,ELEMENTARY,Comprehensive,112.0,19.6,58.0,10.24,20.0,32.0,51.0,30.0,68.0,49.0,46.0,31.0,37.0,34.0
300910370042003,Lincoln Elementary School- Anna CCSD 37,170375000066.0,PK - 2,ELEMENTARY,Comprehensive,206.0,23.3,45.6,15.63,60.0,35.0,45.0,19.0,61.0,35.0,22.0,26.0,20.0,30.0
310450460221003,Abbott Middle School- SD U-46,171371001664.0,7 - 8,MIDDLE SCHL,Comprehensive,539.0,23.7,63.3,44.92,12.0,7.0,39.0,17.0,21.0,34.0,1.0,20.0,1.0,31.0
310450460221007,Larsen Middle School- SD U-46,171371001689.0,7 - 8,MIDDLE SCHL,Comprehensive,593.0,13.0,56.3,44.2,39.0,22.0,42.0,27.0,38.0,36.0,10.0,50.0,18.0,39.0
310450460221008,Tefft Middle School- SD U-46,171371001691.0,7 - 8,MIDDLE SCHL,Comprehensive,884.0,16.4,57.0,63.97,33.0,1.0,42.0,23.0,38.0,39.0,9.0,52.0,15.0,12.0
310450460221045,Canton Middle School- SD U-46,171371001705.0,7 - 8,MIDDLE SCHL,Comprehensive,416.0,22.8,45.4,35.1,46.0,39.0,48.0,51.0,43.0,52.0,19.0,37.0,36.0,70.0
310450460222011,Channing Memorial Elementary School- SD U-46,171371001668.0,K - 6,ELEMENTARY,Comprehensive,362.0,19.1,71.8,33.2,49.0,19.0,38.0,67.0,67.0,52.0,27.0,46.0,28.0,18.0
310450460222029,Parkwood Elementary School- SD U-46,171371001698.0,K - 6,ELEMENTARY,Comprehensive,285.0,19.6,71.9,‡,52.0,45.0,34.0,51.0,57.0,60.0,20.0,47.0,22.0,54.0
310450460222032,Ronald D O Neal Elementary School- SD U-46,171371001700.0,K - 6,ELEMENTARY,Comprehensive,457.0,15.8,76.6,29.5,48.0,14.0,37.0,34.0,52.0,29.0,53.0,69.0,48.0,21.0
310451290222008,Hall Elementary School- Aurora West USD 129,170471000165.0,PK - 5,ELEMENTARY,Comprehensive,574.0,12.0,56.6,32,25.0,10.0,36.0,1.0,28.0,24.0,37.0,34.0,21.0,30.0
310451310221003,K D Waldo Middle School- Aurora East USD 131,170468000149.0,6 - 8,MIDDLE SCHL,Comprehensive,834.0,16.3,72.5,64.97,61.0,14.0,37.0,32.0,30.0,30.0,3.0,15.0,1.0,25.0
310451310221004,Henry W Cowherd Middle School- Aurora East USD 131,170468000040.0,6 - 8,MIDDLE SCHL,Comprehensive,863.0,16.9,72.5,63.56,61.0,24.0,26.0,8.0,24.0,36.0,2.0,2.0,15.0,35.0
310451310222015,Edna Rollins Elementary School- Aurora East USD 131,170468005473.0,K - 5,ELEMENTARY,Comprehensive,467.0,8.8,78.2,28.96,14.0,11.0,18.0,1.0,10.0,12.0,28.0,8.0,3.0,48.0
320380100261001,Iroquois West Middle School- Iroquois West CUSD 10,172018004925.0,6 - 8,MIDDLE SCHL,Comprehensive,190.0,19.5,58.4,15.56,,27.0,,,,,,,32.0,
320461110252010,Taft Primary School- Kankakee SD 111,172076002358.0,K - 3,ELEMENTARY,Comprehensive,355.0,11.8,84.2,20.94,1.0,17.0,32.0,6.0,21.0,33.0,10.0,16.0,1.0,18.0
320461110252015,John Kennedy Middle Grade School- Kankakee SD 111,172076005569.0,3 - 6,ELEMENTARY,Comprehensive,544.0,16.7,91.5,29.77,1.0,1.0,21.0,6.0,14.0,16.0,27.0,11.0,26.0,9.0
320462560042001,St Anne Elementary School- St Anne CCSD 256,173712003849.0,PK - 8,ELEMENTARY,Comprehensive,277.0,17.0,57.4,24,33.0,51.0,33.0,28.0,54.0,32.0,50.0,54.0,45.0,55.0
330362350261001,West Central Middle School- West Central CUSD 235,170031905598.0,6 - 8,MIDDLE SCHL,Comprehensive,178.0,16.3,66.9,14.39,26.0,17.0,54.0,54.0,35.0,28.0,26.0,44.0,24.0,41.0
0000,Galesburg Senior High School- Galesburg CUSD 205,171608001923.0,9 - 12,HIGH SCHOOL,Targeted,1158.0,19.4,65.7,91.66,25.0,14.0,9.0,6.0,17.0,41.0,35.0,29.0,11.0,21.0
340490030041006,Beach Park Middle School- Beach Park CCSD 3,170001000213.0,6 - 8,MIDDLE SCHL,Comprehensive,714.0,16.8,57.3,49.25,67.0,28.0,47.0,56.0,44.0,50.0,20.0,50.0,33.0,34.0
340490030042004,Howe Elementary School- Beach Park CCSD 3,170001000212.0,K - 5,ELEMENTARY,Comprehensive,393.0,11.2,70.5,25.54,21.0,1.0,34.0,25.0,25.0,39.0,39.0,19.0,3.0,30.0
340490060021001,Zion Central Middle School- Zion ESD 6,174386004351.0,6 - 8,MIDDLE SCHL,Intensive,304.0,10.5,82.2,21,20.0,49.0,41.0,55.0,36.0,31.0,4.0,37.0,26.0,66.0
340490060021002,Shiloh Park Middle School- Zion ESD 6,174386006827.0,6 - 8,MIDDLE SCHL,Comprehensive,399.0,19.8,83.0,18,9.0,19.0,43.0,58.0,51.0,43.0,6.0,34.0,36.0,51.0
340490060022006,West Elementary School- Zion ESD 6,174386004356.0,3 - 5,ELEMENTARY,Comprehensive,381.0,13.1,81.9,16,36.0,40.0,19.0,9.0,27.0,21.0,29.0,18.0,21.0,39.0
340490060022007,Beulah Park Elementary School- Zion ESD 6,174386004350.0,PK - 2,ELEMENTARY,Comprehensive,258.0,14.0,77.5,15,27.0,29.0,16.0,12.0,22.0,19.0,20.0,12.0,7.0,28.0
340490060022009,Lakeview School- Zion ESD 6,174386006826.0,PK - 2,ELEMENTARY,Comprehensive,252.0,11.1,82.9,17,14.0,8.0,37.0,22.0,26.0,32.0,36.0,33.0,14.0,40.0
340490560022001,Prairie Trail School- Gurnee SD 56,171780002074.0,3 - 5,ELEMENTARY,Comprehensive,406.0,15.5,62.6,36.5,69.0,42.0,46.0,51.0,38.0,51.0,48.0,52.0,41.0,47.0
340490600261001,Jack Benny Middle School- Waukegan CUSD 60,174125004131.0,6 - 8,MIDDLE SCHL,Comprehensive,526.0,16.3,61.2,25.25,57.0,32.0,47.0,46.0,49.0,66.0,26.0,52.0,32.0,44.0
340490600261002,John R Lewis Middle School- Waukegan CUSD 60,174125004138.0,6 - 8,MIDDLE SCHL,Comprehensive,766.0,17.8,71.8,50,38.0,37.0,42.0,53.0,39.0,56.0,19.0,52.0,33.0,54.0
340490600261004,Robert E Abbott Middle School- Waukegan CUSD 60,174125000206.0,6 - 8,MIDDLE SCHL,Comprehensive,629.0,12.2,69.2,37,67.0,30.0,50.0,74.0,58.0,69.0,15.0,70.0,24.0,47.0
340490600262004,Carman-Buckner Elementary School- Waukegan CUSD 60,174125004125.0,PK - 5,ELEMENTARY,Comprehensive,431.0,17.4,77.0,32.25,74.0,52.0,60.0,93.0,80.0,99.0,73.0,99.0,74.0,67.0
340490600262017,Oakdale Elementary School- Waukegan CUSD 60,174125004137.0,PK - 5,ELEMENTARY,Comprehensive,404.0,14.1,64.1,16.75,44.0,14.0,41.0,38.0,47.0,66.0,57.0,45.0,36.0,38.0
340491160261003,Round Lake Middle School- Round Lake CUSD 116,173499003665.0,6 - 8,MIDDLE SCHL,Comprehensive,794.0,18.8,86.0,68.31,74.0,32.0,39.0,44.0,37.0,37.0,7.0,80.0,16.0,40.0
340491160261004,Magee Middle School- Round Lake CUSD 116,173499005995.0,6 - 8,MIDDLE SCHL,Comprehensive,656.0,19.1,85.7,62,92.0,38.0,50.0,53.0,51.0,38.0,6.0,77.0,28.0,30.0
340491160262002,Indian Hill Elementary School- Round Lake CUSD 116,173499003664.0,1 - 5,ELEMENTARY,Comprehensive,442.0,14.3,82.4,34.5,60.0,17.0,37.0,34.0,34.0,40.0,37.0,63.0,20.0,35.0
340491160262005,W J Murphy Elementary School- Round Lake CUSD 116,173499003670.0,1 - 5,ELEMENTARY,Comprehensive,443.0,14.9,83.5,35.6,59.0,27.0,33.0,29.0,11.0,16.0,29.0,56.0,12.0,41.0
340491870262008,A J Katzenmaier Academy- North Chicago SD 187,170011004814.0,4 - 5,ELEMENTARY,Comprehensive,346.0,15.6,98.6,23.44,54.0,8.0,31.0,39.0,51.0,44.0,26.0,53.0,18.0,46.0
340491870262009,Evelyn Alexander School- North Chicago SD 187,170011004815.0,K - 3,ELEMENTARY,Intensive,351.0,9.7,99.7,23,3.0,12.0,26.0,2.0,18.0,7.0,29.0,5.0,7.0,33.0
350500440021005,Northlawn Junior High School- Streator ESD 44,170011205381.0,5 - 8,MIDDLE SCHL,Comprehensive,602.0,22.8,61.8,43.88,21.0,35.0,53.0,9.0,34.0,33.0,4.0,30.0,10.0,27.0
390550610251034,Stephen Decatur Middle School- Decatur SD 61,171185004100.0,7 - 8,MIDDLE SCHL,Intensive,460.0,23.7,81.7,32,18.0,19.0,42.0,25.0,34.0,39.0,1.0,18.0,17.0,32.0
390550610252004,Dennis Lab School- Decatur SD 61,171185001399.0,PK - 8,ELEMENTARY,Comprehensive,537.0,19.7,79.3,37,33.0,22.0,30.0,17.0,33.0,27.0,14.0,21.0,6.0,15.0
390550610252009,Franklin Grove Elementary School- Decatur SD 61,171185001404.0,K - 6,ELEMENTARY,Intensive,445.0,19.6,85.2,25,,,,,,,,,,
390550610252010,American Dreamer STEM Academy- Decatur SD 61,171185001406.0,K - 8,ELEMENTARY,Intensive,391.0,15.6,90.0,21,,,,,,,,,,
390550610252016,Muffley Elementary School- Decatur SD 61,171185001407.0,K - 6,ELEMENTARY,Intensive,356.0,22.8,77.5,25,42.0,72.0,35.0,39.0,41.0,46.0,19.0,51.0,30.0,66.0
390550610252019,Parsons Elementary School- Decatur SD 61,171185001432.0,K - 6,ELEMENTARY,Comprehensive,448.0,17.0,80.1,31,68.0,45.0,42.0,60.0,57.0,32.0,32.0,66.0,25.0,56.0
390550610252023,South Shores Elementary School- Decatur SD 61,171185001418.0,K - 6,ELEMENTARY,Comprehensive,314.0,18.8,80.9,17.12,40.0,30.0,32.0,26.0,44.0,38.0,8.0,46.0,15.0,29.0
390550610252031,Michael E Baum Elementary School- Decatur SD 61,171185001423.0,K - 6,ELEMENTARY,Comprehensive,298.0,23.2,77.2,19,34.0,22.0,23.0,18.0,40.0,29.0,29.0,33.0,20.0,17.0
390550610252034,Hope Academy- Decatur SD 61,171185005629.0,K - 8,ELEMENTARY,Intensive,577.0,27.9,86.7,42,23.0,1.0,15.0,10.0,21.0,20.0,9.0,23.0,20.0,3.0
400560050262001,Mt Olive Elementary School- Mount Olive CUSD 5,172718004751.0,PK - 8,ELEMENTARY,Comprehensive,366.0,21.6,48.9,28.9,6.0,17.0,35.0,33.0,21.0,42.0,51.0,29.0,44.0,36.0
410570090261003,Coolidge Junior High School- Granite City CUSD 9,171728002024.0,7 - 8,MIDDLE SCHL,Comprehensive,837.0,19.8,67.1,46,39.0,32.0,52.0,44.0,50.0,36.0,3.0,56.0,17.0,44.0
410570090262007,Frohardt Elementary School- Granite City CUSD 9,171728002026.0,3 - 4,ELEMENTARY,Comprehensive,392.0,23.5,75.0,27,48.0,36.0,37.0,35.0,39.0,39.0,17.0,40.0,3.0,69.0
410570090262020,Wilson Elementary School- Granite City CUSD 9,171728002045.0,1 - 2,ELEMENTARY,Comprehensive,448.0,24.3,70.8,30,1.0,1.0,25.0,1.0,5.0,23.0,20.0,11.0,1.0,1.0
410570120262008,Bernard Long Elementary School- Madison CUSD 12,172397006213.0,PK - 5,ELEMENTARY,Intensive,370.0,14.9,93.5,19,20.0,9.0,28.0,1.0,20.0,22.0,18.0,24.0,1.0,26.0
410570130021001,East Alton Middle School- East Alton SD 13,171296001542.0,6 - 8,MIDDLE SCHL,Comprehensive,181.0,24.9,59.1,15.89,72.0,55.0,50.0,64.0,58.0,68.0,41.0,46.0,47.0,51.0
410570130022002,Eastwood Elementary School- East Alton SD 13,171296001543.0,K - 5,ELEMENTARY,Comprehensive,406.0,22.9,45.6,38.39,37.0,14.0,35.0,44.0,33.0,38.0,47.0,35.0,14.0,34.0
410570150031001,Lewis-Clark Junior High School- Wood River-Hartford ESD 15,174305004321.0,6 - 8,MIDDLE SCHL,Comprehensive,188.0,22.9,75.5,13.75,1.0,39.0,46.0,27.0,44.0,20.0,9.0,51.0,26.0,32.0
450791380262002,Steeleville Elementary School- Steeleville CUSD 138,173765003878.0,PK - 8,ELEMENTARY,Comprehensive,270.0,16.7,41.5,18,1.0,23.0,36.0,16.0,59.0,20.0,41.0,35.0,50.0,70.0
470521700222003,Madison School- Dixon USD 170,171233001483.0,4 - 5,ELEMENTARY,Comprehensive,367.0,20.7,57.8,24.67,32.0,12.0,33.0,12.0,48.0,19.0,49.0,13.0,8.0,36.0
470521700222004,Jefferson Elementary School- Dixon USD 170,171233001484.0,2 - 3,ELEMENTARY,Comprehensive,309.0,14.6,55.3,24.9,25.0,31.0,43.0,43.0,53.0,53.0,51.0,46.0,20.0,45.0
480721500251001,Rolling Acres Middle School- Peoria SD 150,173123005324.0,5 - 12,MIDDLE SCHL,Comprehensive,323.0,30.0,64.7,24.75,50.0,86.0,45.0,66.0,58.0,69.0,52.0,51.0,70.0,79.0
480721500251013,Mark W Bills Middle School- Peoria SD 150,173123005336.0,5 - 8,MIDDLE SCHL,Comprehensive,253.0,30.8,74.3,15,47.0,52.0,54.0,49.0,41.0,47.0,19.0,64.0,48.0,60.0
480721500252028,The Elise Ford Allen Academy- Peoria SD 150,173123003283.0,K - 8,ELEMENTARY,Intensive,589.0,14.9,93.0,44,43.0,2.0,23.0,14.0,31.0,35.0,10.0,34.0,1.0,32.0
480721500252032,Franklin Primary School- Peoria SD 150,173123003259.0,K - 4,ELEMENTARY,Intensive,380.0,22.9,87.4,28.71,45.0,39.0,43.0,69.0,37.0,70.0,59.0,23.0,30.0,62.0
480721500252034,Glen Oak Comm Learning Center- Peoria SD 150,173123003262.0,K - 8,ELEMENTARY,Intensive,680.0,13.1,91.9,39,6.0,5.0,22.0,25.0,15.0,37.0,5.0,16.0,1.0,26.0
480721500252036,Annie Jo Gordon Comm Learning Center- Peoria SD 150,173123003265.0,K - 8,ELEMENTARY,Comprehensive,552.0,16.3,91.8,44.58,33.0,22.0,23.0,46.0,19.0,37.0,25.0,39.0,22.0,40.0
480721500252039,Dr. C.T. Vivian Primary School- Peoria SD 150,173123003286.0,PK - 4,ELEMENTARY,Comprehensive,352.0,23.9,81.3,33.5,55.0,35.0,38.0,40.0,32.0,60.0,51.0,42.0,41.0,41.0
480721500252052,Trewyn Primary School- Peoria SD 150,173123006420.0,K - 8,ELEMENTARY,Intensive,429.0,24.5,91.4,29.91,48.0,18.0,23.0,26.0,33.0,22.0,1.0,41.0,1.0,33.0
490810340022003,George O Barr School- Silvis SD 34,173636004835.0,PK - 5,ELEMENTARY,Comprehensive,415.0,14.9,62.9,30.63,23.0,27.0,37.0,24.0,54.0,35.0,37.0,35.0,26.0,45.0
490810360022002,Eagle Ridge School- Carbon Cliff-Barstow SD 36,170831004885.0,PK - 8,ELEMENTARY,Comprehensive,275.0,16.7,97.8,21.37,7.0,24.0,21.0,1.0,23.0,17.0,44.0,35.0,26.0,22.0
490810400221003,John Deere Middle School- Moline-Coal Valley CUSD 40,172640002818.0,6 - 8,MIDDLE SCHL,Comprehensive,754.0,16.3,59.7,54.6,78.0,55.0,57.0,57.0,77.0,61.0,52.0,79.0,53.0,57.0
490810400221004,Woodrow Wilson Middle School- Moline-Coal Valley CUSD 40,172640002827.0,6 - 8,MIDDLE SCHL,Comprehensive,814.0,16.0,55.8,52.13,50.0,65.0,59.0,71.0,78.0,46.0,26.0,78.0,47.0,78.0
490810400222016,Lincoln-Irving Elementary School- Moline-Coal Valley CUSD 40,172640002820.0,PK - 5,ELEMENTARY,Comprehensive,295.0,11.2,85.8,21,1.0,12.0,37.0,31.0,38.0,55.0,21.0,28.0,22.0,46.0
490810410251003,Edison Junior High School- Rock Island SD 41,173441003538.0,7 - 8,MIDDLE SCHL,Comprehensive,407.0,21.6,73.0,23.64,32.0,40.0,37.0,22.0,43.0,50.0,11.0,45.0,26.0,51.0
490810410251005,Washington Junior High School- Rock Island SD 41,173441003529.0,7 - 8,MIDDLE SCHL,Comprehensive,481.0,22.5,66.3,35.64,48.0,32.0,40.0,28.0,57.0,57.0,20.0,45.0,33.0,37.0
490810410252015,Longfellow Elementary School- Rock Island SD 41,173441003534.0,PK - 6,ELEMENTARY,Comprehensive,234.0,17.9,69.7,17.81,19.0,29.0,18.0,23.0,37.0,35.0,32.0,23.0,20.0,24.0
490810410252020,Rock Island Academy- Rock Island SD 41,173441005967.0,PK - 6,ELEMENTARY,Comprehensive,489.0,18.2,85.1,33.15,37.0,10.0,13.0,6.0,34.0,28.0,13.0,20.0,19.0,14.0
500821810022001,Signal Hill Elementary School- Signal Hill SD 181,173633003754.0,PK - 8,ELEMENTARY,Comprehensive,285.0,27.0,60.4,34.5,35.0,26.0,33.0,29.0,51.0,48.0,46.0,47.0,53.0,43.0
500821870261014,Wirth/Parks Middle School- Cahokia CUSD 187,170804006232.0,6 - 8,MIDDLE SCHL,Intensive,615.0,29.4,95.8,10.9,12.0,13.0,32.0,26.0,44.0,40.0,1.0,33.0,1.0,6.0
500821870262005,Huffman Elementary School- Cahokia CUSD 187,170804000413.0,3 - 5,ELEMENTARY,Intensive,278.0,19.1,93.2,18.8,70.0,36.0,34.0,63.0,13.0,65.0,1.0,52.0,1.0,62.0
500821870262007,Lalumier Elementary School- Cahokia CUSD 187,170804000414.0,PK - 3,ELEMENTARY,Intensive,276.0,10.9,96.7,18.8,30.0,1.0,36.0,6.0,32.0,68.0,27.0,41.0,31.0,15.0
500821870262008,Maplewood Elementary School- Cahokia CUSD 187,170804000415.0,PK - 2,ELEMENTARY,Intensive,290.0,22.4,93.8,17.6,15.0,28.0,29.0,56.0,25.0,53.0,7.0,32.0,12.0,50.0
500821870262009,Elizabeth Morris Elementary School- Cahokia CUSD 187,170804000416.0,K - 3,ELEMENTARY,Intensive,261.0,5.7,95.4,14.1,1.0,1.0,27.0,1.0,10.0,19.0,12.0,4.0,10.0,27.0
500821870262010,Penniman Elementary School- Cahokia CUSD 187,170804000412.0,3 - 5,ELEMENTARY,Intensive,256.0,21.9,96.1,20.8,28.0,1.0,36.0,15.0,14.0,29.0,1.0,22.0,1.0,20.0
500821880221001,Lovejoy Middle School- Brooklyn UD 188,172364004711.0,6 - 8,MIDDLE SCHL,Intensive,20.0,,100.0,1.6,,,,,,,,,,
500821890221036,East St Louis Senior High School- East St Louis SD 189,171332004975.0,9 - 12,HIGH SCHOOL,Comprehensive,1140.0,17.0,99.4,82.1,46.0,20.0,6.0,26.0,21.0,49.0,25.0,40.0,8.0,19.0
500821890220043,East St Louis-Lincoln Middle School- East St Louis SD 189,171332003243.0,5 - 8,MIDDLE SCHL,Intensive,441.0,15.6,99.8,48,73.0,43.0,50.0,67.0,54.0,51.0,1.0,80.0,14.0,50.0
510841860250003,Springfield Southeast High School- Springfield SD 186,173708003839.0,9 - 12,HIGH SCHOOL,Comprehensive,1218.0,22.7,63.0,81.83,18.0,13.0,17.0,12.0,31.0,37.0,24.0,36.0,6.0,13.0
510841860251007,U S Grant Middle School- Springfield SD 186,173708003841.0,6 - 8,MIDDLE SCHL,Comprehensive,518.0,22.0,66.6,44,22.0,13.0,41.0,5.0,32.0,54.0,1.0,34.0,5.0,19.0
510841860251009,Washington Middle School- Springfield SD 186,173708003844.0,6 - 8,MIDDLE SCHL,Intensive,520.0,31.3,80.4,52,42.0,51.0,48.0,26.0,52.0,42.0,1.0,40.0,1.0,74.0
510841860252015,Dubois Elementary School- Springfield SD 186,173708003818.0,K - 5,ELEMENTARY,Comprehensive,423.0,22.7,58.9,28,1.0,1.0,33.0,1.0,26.0,21.0,16.0,14.0,6.0,14.0
510841860252017,Fairview Elementary School- Springfield SD 186,173708003820.0,K - 5,ELEMENTARY,Comprehensive,274.0,27.0,61.3,20.34,70.0,53.0,41.0,53.0,84.0,76.0,39.0,58.0,17.0,82.0
510841860252027,Matheny-Withrow Elementary School- Springfield SD 186,173708003831.0,K - 5,ELEMENTARY,Comprehensive,223.0,22.0,75.8,20.5,1.0,19.0,32.0,1.0,27.0,19.0,11.0,1.0,21.0,51.0
510841860252037,Feitshans Elementary School- Springfield SD 186,173708003843.0,PK - 5,ELEMENTARY,Intensive,293.0,27.6,81.2,31.5,30.0,9.0,40.0,31.0,40.0,45.0,24.0,51.0,1.0,28.0
510841860252042,Jefferson Middle School- Springfield SD 186,173708004431.0,6 - 8,ELEMENTARY,Intensive,528.0,28.0,78.8,43,22.0,34.0,50.0,39.0,38.0,39.0,1.0,55.0,9.0,50.0
510841860252044,Harvard Park Elementary School- Springfield SD 186,173708005291.0,PK - 5,ELEMENTARY,Intensive,344.0,19.5,78.5,29.16,23.0,41.0,51.0,50.0,63.0,43.0,10.0,66.0,15.0,54.0
530901080021002,Edison Junior High School- Pekin PSD 108,173108003233.0,7 - 8,MIDDLE SCHL,Comprehensive,308.0,18.8,53.9,25.45,50.0,61.0,53.0,60.0,64.0,29.0,31.0,67.0,39.0,55.0
540920020262001,Judith Giacoma Elementary School- Westville CUSD 2,171082001318.0,PK - 6,ELEMENTARY,Comprehensive,665.0,27.2,66.9,44.2,18.0,3.0,30.0,1.0,28.0,9.0,39.0,10.0,34.0,27.0
540921180240022,Danville High School- Danville CCSD 118,171179001382.0,9 - 12,HIGH SCHOOL,Comprehensive,1147.0,22.8,70.0,87.18,51.0,24.0,19.0,33.0,32.0,58.0,27.0,55.0,33.0,22.0
540921180241020,North Ridge Middle School- Danville CCSD 118,171179001392.0,7 - 8,MIDDLE SCHL,Comprehensive,638.0,25.7,83.1,45.14,51.0,13.0,43.0,34.0,39.0,39.0,1.0,32.0,1.0,17.0
540921180242020,Mark Denman Elementary School- Danville CCSD 118,171179005274.0,K - 4,ELEMENTARY,Comprehensive,588.0,25.5,91.7,40.73,32.0,16.0,41.0,36.0,31.0,72.0,22.0,31.0,13.0,41.0
560990860051001,Dirksen Junior High School- Joliet PSD 86,172058002326.0,6 - 8,MIDDLE SCHL,Comprehensive,549.0,16.0,98.4,44.25,54.0,37.0,36.0,45.0,45.0,38.0,1.0,35.0,13.0,35.0
560990890022002,Fairmont School- Fairmont SD 89,171476004930.0,PK - 8,ELEMENTARY,Comprehensive,293.0,18.8,98.0,32.14,40.0,36.0,36.0,41.0,59.0,49.0,30.0,53.0,26.0,44.0
11012003C260001,Martinsville Jr-Sr High School- Martinsville CUSD 3C,172490002700.0,7 - 12,HIGH SCHOOL,Comprehensive,144.0,25.0,52.8,15.2,15.0,45.0,46.0,52.0,78.0,41.0,56.0,64.0,56.0,40.0
